,S&P_500,NASDAQ,US_10Y_Bond,VIX,Unemployment_Rate,CPI
2021-04-01,4019.8701171875,13480.1103515625,1.6790000200271606,17.329999923706055,6.1,266.614
2021-04-05,4077.909912109375,13705.58984375,1.7200000286102295,17.90999984741211,6.1,266.614
2021-04-06,4073.93994140625,13698.3798828125,1.656000018119812,18.1200008392334,6.1,266.614
2021-04-07,4079.949951171875,13688.83984375,1.652999997138977,17.15999984741211,6.1,266.614
2021-04-08,4097.169921875,13829.3095703125,1.6319999694824219,16.950000762939453,6.1,266.614
2021-04-09,4128.7998046875,13900.1904296875,1.6660000085830688,16.690000534057617,6.1,266.614
2021-04-12,4127.990234375,13850.0,1.6749999523162842,16.90999984741211,6.1,266.614
2021-04-13,4141.58984375,13996.099609375,1.6230000257492065,16.649999618530273,6.1,266.614
2021-04-14,4124.66015625,13857.83984375,1.6380000114440918,16.989999771118164,6.1,266.614
2021-04-15,4170.419921875,14038.759765625,1.5299999713897705,16.56999969482422,6.1,266.614
2021-04-16,4185.47021484375,14052.33984375,1.5729999542236328,16.25,6.1,266.614
2021-04-19,4163.259765625,13914.76953125,1.6009999513626099,17.290000915527344,6.1,266.614
2021-04-20,4134.93994140625,13786.26953125,1.562000036239624,18.68000030517578,6.1,266.614
2021-04-21,4173.419921875,13950.2197265625,1.5640000104904175,17.5,6.1,266.614
2021-04-22,4134.97998046875,13818.41015625,1.5540000200271606,18.709999084472656,6.1,266.614
2021-04-23,4180.169921875,14016.8095703125,1.5670000314712524,17.329999923706055,6.1,266.614
2021-04-26,4187.6201171875,14138.7802734375,1.5700000524520874,17.639999389648438,6.1,266.614
2021-04-27,4186.72021484375,14090.2197265625,1.621999979019165,17.559999465942383,6.1,266.614
2021-04-28,4183.18017578125,14051.0302734375,1.6200000047683716,17.280000686645508,6.1,266.614
2021-04-29,4211.47021484375,14082.5498046875,1.6399999856948853,17.610000610351562,6.1,266.614
2021-04-30,4181.169921875,13962.6796875,1.63100004196167,18.610000610351562,6.1,266.614
2021-05-01,4181.169921875,13962.6796875,1.63100004196167,18.610000610351562,5.8,268.383
2021-05-03,4192.66015625,13895.1201171875,1.6069999933242798,18.309999465942383,5.8,268.383
2021-05-04,4164.66015625,13633.5,1.5920000076293945,19.479999542236328,5.8,268.383
2021-05-05,4167.58984375,13582.419921875,1.5839999914169312,19.149999618530273,5.8,268.383
2021-05-06,4201.6201171875,13632.83984375,1.5609999895095825,18.389999389648438,5.8,268.383
2021-05-07,4232.60009765625,13752.240234375,1.5770000219345093,16.690000534057617,5.8,268.383
2021-05-10,4188.43017578125,13401.8603515625,1.6019999980926514,19.65999984741211,5.8,268.383
2021-05-11,4152.10009765625,13389.4296875,1.6239999532699585,21.84000015258789,5.8,268.383
2021-05-12,4063.0400390625,13031.6796875,1.6950000524520874,27.59000015258789,5.8,268.383
2021-05-13,4112.5,13124.990234375,1.6679999828338623,23.1299991607666,5.8,268.383
